Назва,Адреса,Тип закладу,Пандус,Табличка з шрифтом Брайля,Тактильна плитка,Кнопка виклику персоналу,Паркомісця для людей з інвалідністю,Широкі двері для людей з інвалідністю,Вбиральні для людей з інвалідністю
"""Бажаємо здоров'я""",Вул. Преображенська 2,Аптека,1,1,1,1,0,1,0
ACBIO,Вул. Преображенська 2,Банк,1,1,1,1,0,1,0
Філармонійний центр,Просп. Миру 15,Філармонійний центр,1,0,0,1,0,1,0
ZooBonus,Просп. Миру 17,Зоомагазин,1,0,0,0,0,1,0
Правекс банк,Просп. Миру 17,Банк,1,1,1,0,0,1,0
Ощадбанк,Просп. Миру 19,Банк,1,1,0,1,0,1,0
Солобіє,Просп. Миру 27,Ресторан,0,0,0,1,0,1,0
Raiffeisen Bank,Просп. Миру 31/87,Банк,1,1,1,1,0,1,0
Підземний перехід ,На просп. Перемоги,Підземний перехід,1,0,0,1,0,1,0
"Аптека ""БАМ""",Просп. Перемоги 82,Аптека,1,1,1,1,0,1,0
Аврора,Просп. Перемоги 82,Супермаркет,1,1,1,1,0,1,0
Аптека оптових цін,Просп. Перемоги 82,Аптека,1,0,1,1,0,1,0
Соціальна аптека,Вул. Княжа 33,Аптека,1,1,1,0,0,1,0
McDonald’s,Вул. Княжа 34,Заклад швидкого харчування,1,0,0,1,1,1,1
Pasta Basta,Просп. Миру,Ресторан,1,0,0,0,0,1,0
Шарлотка,Просп. Миру 21,Кафетерій,1,0,0,0,0,0,0
Марконі,Просп. Миру 17,Ресторан,1,0,0,0,0,1,0
Familia Italiana,Вул. Шевченка 9,Ресторан,1,0,0,0,0,1,0
"Варенична ""Балувана Галя""",Просп. Миру 21,Ресторан національної кухні,1,0,0,0,0,1,0
Софра,Просп. Миру 21,Ресторан,1,0,0,0,0,1,0
Громадський транспорт,0,Громадський транспорт - новий,1,0,0,1,0,1,0
"ТРЦ ""Hollywood""",Просп. Левка Лук'яненка 74,Торгівельний центр,1,0,0,1,1,1,1
Ощадбанк,Просп. Левка Лук'яненка 74,Банк,1,1,0,0,0,1,0
Sense Bank,Просп. Левка Лук'яненка 70,Банк,1,1,1,1,0,1,0
Аврора,Просп. Левка Лук'яненка 70,Роздрібний магазин,1,0,1,1,0,1,0
Rozetka,Просп. Левка Лук'яненка 70,Роздрібний магазин,1,0,0,0,0,1,0
CSD LAB,Просп. Левка Лук'яненка 68,Медична лабораторія,1,0,1,1,0,1,0
Нова Пошта № 4,Просп. Левка Лук'яненка 68,Логістична компанія,0,1,0,1,0,1,0
"Аптека ""Бажаємо здоров'я"" ",Просп. Левка Лук'яненка 62,Аптека,1,1,1,1,0,1,0
"Аптека ""Низьких цін""",Просп. Левка Лук'яненка 62,Аптека,1,1,0,1,0,1,0
Аврора,Просп. Левка Лук'яненка 42-А,Роздрібний магазин,1,0,1,1,0,1,0
Da Vinchi,Просп. Левка Лук'яненка 70,Медичний центр,1,0,0,1,0,1,0
Центр ментального здоров'я,Просп. Левка Лук'яненка 70,Медичний центр,1,1,0,1,0,1,0
Дніпролаб,Просп. Левка Лук'яненка 49,Медична лабораторія,1,0,0,0,0,1,0
Сімейна поліклініка,Просп. Левка Лук'яненка 47,Лікарня,1,1,1,1,0,1,0
"Аптека ""Бажаємо здоров'я"" ",Просп. Левка Лук'яненка 43,Аптека,1,0,1,0,0,1,0
Аврора,Просп. Левка Лук'яненка 43,Роздрібний магазин,1,0,1,1,0,1,0
Defile,Просп. Левка Лук'яненка 41,Роздрібний магазин,1,0,0,0,0,1,0
ДяДя Чебурек,Просп. Левка Лук'яненка 43,Фастфуд-ресторан,1,0,0,0,0,1,0
Продукти,Просп. Левка Лук'яненка 43,Роздрібний магазин,1,0,0,0,0,1,0
ЦНАП,Просп. Левка Лук'яненка 20А,Центр надання адміністративних послуг,1,1,0,1,0,1,0
"Майстерня краси ""De Fleur""",Просп. Левка Лук'яненка 39,Салон краси,1,0,0,0,0,1,0
АТБ,Просп. Левка Лук'яненка 35,Супермаркет,1,0,1,0,0,1,0
Аптека оптових цін,Просп. Левка Лук'яненка 35,Аптека,1,1,1,0,0,1,0
АТБ,Просп. Левка Лук'яненка 15,Супермаркет,1,0,1,0,1,1,0
"Аптека ""Подорожник""",Просп. Левка Лук'яненка 21,Аптека,1,1,1,1,0,1,0
Пумб,Просп. Левка Лук'яненка 21,Банк,1,0,1,1,0,1,0
Vape king shop,Просп. Левка Лук'яненка 25,Роздрібний магазин,1,0,0,0,0,1,0
Перший ломбард,Просп. Левка Лук'яненка 25,Фінансова установа,0,0,0,1,0,1,0
"Аптека ""Подорожник""",Просп. Левка Лук'яненка 21,Аптека,1,1,1,1,0,1,0
Центральна районна лікарня,Вул. Шевченка 114,Лікарня,1,0,0,0,0,1,0
Ощадбанк,Просп. Левка Лук'яненка 16-А,Банк,1,1,1,1,0,1,0
FILADA,Вул. Святомиколаївська 19,Медичний центр,1,0,0,1,0,1,0
ПриватБанк,Вул. Борисоглібська 6,Банк,0,0,1,1,0,1,0
Чернігівський обласний художній музей імені Григорія Галагана,вул. Музейна 6,Музей,0,0,0,1,0,1,0
Державний архів Чернігівської області,вул Мстиславська 2,Архів,0,0,0,1,0,1,0
Аврора,вул. Красносільського 59А,Роздрібний магазин,1,1,0,1,0,1,0
АТБ,вул. Незалежності 10,Супермаркет,1,0,0,0,1,1,0
Аптека АНЦ,вул. Незалежності 15,Аптека,1,0,1,1,0,0,0
Полікомбанк,вул. Незалежності 15,Банк,1,0,0,1,0,1,0
Аптека оптових цін,вул. Незалежності 15,Аптека,1,1,1,0,0,0,0
EVA,вул. Незалежності 15,Торгівля товарами краси,1,0,0,0,0,0,0
Rozetka,вул. Незалежності 25,Роздрібний магазин,1,1,1,0,1,1,0
Велмарт,вул.Незалежності 32,Супермаркет,1,0,0,0,1,1,0
