Назва,Адреса,Тип закладу,Пандус,Табличка з шрифтом Брайля,Тактильна плитка,Кнопка виклику персоналу,Паркомісця для людей з інвалідністю,Широкі двері для людей з інвалідністю,Вбиральні для людей з інвалідністю,text
"""Бажаємо здоров'я""",Вул. Преображенська 2,Аптека,1,1,1,1,0,1,0,"Назва: ""Бажаємо здоров'я""
Адреса: Вул. Преображенська 2
Тип закладу: Аптека
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
ACBIO,Вул. Преображенська 2,Банк,1,1,1,1,0,1,0,"Назва: ACBIO
Адреса: Вул. Преображенська 2
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Філармонійний центр,Просп. Миру 15,Філармонійний центр,1,0,0,1,0,1,0,"Назва: Філармонійний центр
Адреса: Просп. Миру 15
Тип закладу: Філармонійний центр
Доступність:
- Пандус
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
ZooBonus,Просп. Миру 17,Зоомагазин,1,0,0,0,0,1,0,"Назва: ZooBonus
Адреса: Просп. Миру 17
Тип закладу: Зоомагазин
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
Правекс банк,Просп. Миру 17,Банк,1,1,1,0,0,1,0,"Назва: Правекс банк
Адреса: Просп. Миру 17
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Широкі двері для людей з інвалідністю"
Ощадбанк,Просп. Миру 19,Банк,1,1,0,1,0,1,0,"Назва: Ощадбанк
Адреса: Просп. Миру 19
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Солобіє,Просп. Миру 27,Ресторан,0,0,0,1,0,1,0,"Назва: Солобіє
Адреса: Просп. Миру 27
Тип закладу: Ресторан
Доступність:
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Raiffeisen Bank,Просп. Миру 31/87,Банк,1,1,1,1,0,1,0,"Назва: Raiffeisen Bank
Адреса: Просп. Миру 31/87
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Підземний перехід ,На просп. Перемоги,Підземний перехід,1,0,0,1,0,1,0,"Назва: Підземний перехід 
Адреса: На просп. Перемоги
Тип закладу: Підземний перехід
Доступність:
- Пандус
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
"Аптека ""БАМ""",Просп. Перемоги 82,Аптека,1,1,1,1,0,1,0,"Назва: Аптека ""БАМ""
Адреса: Просп. Перемоги 82
Тип закладу: Аптека
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Аврора,Просп. Перемоги 82,Супермаркет,1,1,1,1,0,1,0,"Назва: Аврора
Адреса: Просп. Перемоги 82
Тип закладу: Супермаркет
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Аптека оптових цін,Просп. Перемоги 82,Аптека,1,0,1,1,0,1,0,"Назва: Аптека оптових цін
Адреса: Просп. Перемоги 82
Тип закладу: Аптека
Доступність:
- Пандус
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Соціальна аптека,Вул. Княжа 33,Аптека,1,1,1,0,0,1,0,"Назва: Соціальна аптека
Адреса: Вул. Княжа 33
Тип закладу: Аптека
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Широкі двері для людей з інвалідністю"
McDonald’s,Вул. Княжа 34,Заклад швидкого харчування,1,0,0,1,1,1,1,"Назва: McDonald’s
Адреса: Вул. Княжа 34
Тип закладу: Заклад швидкого харчування
Доступність:
- Пандус
- Кнопка виклику персоналу
- Паркомісця для людей з інвалідністю
- Широкі двері для людей з інвалідністю
- Вбиральні для людей з інвалідністю"
Pasta Basta,Просп. Миру,Ресторан,1,0,0,0,0,1,0,"Назва: Pasta Basta
Адреса: Просп. Миру
Тип закладу: Ресторан
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
Шарлотка,Просп. Миру 21,Кафетерій,1,0,0,0,0,0,0,"Назва: Шарлотка
Адреса: Просп. Миру 21
Тип закладу: Кафетерій
Доступність:
- Пандус"
Марконі,Просп. Миру 17,Ресторан,1,0,0,0,0,1,0,"Назва: Марконі
Адреса: Просп. Миру 17
Тип закладу: Ресторан
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
Familia Italiana,Вул. Шевченка 9,Ресторан,1,0,0,0,0,1,0,"Назва: Familia Italiana
Адреса: Вул. Шевченка 9
Тип закладу: Ресторан
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
"Варенична ""Балувана Галя""",Просп. Миру 21,Ресторан національної кухні,1,0,0,0,0,1,0,"Назва: Варенична ""Балувана Галя""
Адреса: Просп. Миру 21
Тип закладу: Ресторан національної кухні
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
Софра,Просп. Миру 21,Ресторан,1,0,0,0,0,1,0,"Назва: Софра
Адреса: Просп. Миру 21
Тип закладу: Ресторан
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
Громадський транспорт,0,Громадський транспорт - новий,1,0,0,1,0,1,0,"Назва: Громадський транспорт
Адреса: 0
Тип закладу: Громадський транспорт - новий
Доступність:
- Пандус
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
"ТРЦ ""Hollywood""",Просп. Левка Лук'яненка 74,Торгівельний центр,1,0,0,1,1,1,1,"Назва: ТРЦ ""Hollywood""
Адреса: Просп. Левка Лук'яненка 74
Тип закладу: Торгівельний центр
Доступність:
- Пандус
- Кнопка виклику персоналу
- Паркомісця для людей з інвалідністю
- Широкі двері для людей з інвалідністю
- Вбиральні для людей з інвалідністю"
Ощадбанк,Просп. Левка Лук'яненка 74,Банк,1,1,0,0,0,1,0,"Назва: Ощадбанк
Адреса: Просп. Левка Лук'яненка 74
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Широкі двері для людей з інвалідністю"
Sense Bank,Просп. Левка Лук'яненка 70,Банк,1,1,1,1,0,1,0,"Назва: Sense Bank
Адреса: Просп. Левка Лук'яненка 70
Тип закладу: Банк
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Аврора,Просп. Левка Лук'яненка 70,Роздрібний магазин,1,0,1,1,0,1,0,"Назва: Аврора
Адреса: Просп. Левка Лук'яненка 70
Тип закладу: Роздрібний магазин
Доступність:
- Пандус
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Rozetka,Просп. Левка Лук'яненка 70,Роздрібний магазин,1,0,0,0,0,1,0,"Назва: Rozetka
Адреса: Просп. Левка Лук'яненка 70
Тип закладу: Роздрібний магазин
Доступність:
- Пандус
- Широкі двері для людей з інвалідністю"
CSD LAB,Просп. Левка Лук'яненка 68,Медична лабораторія,1,0,1,1,0,1,0,"Назва: CSD LAB
Адреса: Просп. Левка Лук'яненка 68
Тип закладу: Медична лабораторія
Доступність:
- Пандус
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Нова Пошта № 4,Просп. Левка Лук'яненка 68,Логістична компанія,0,1,0,1,0,1,0,"Назва: Нова Пошта № 4
Адреса: Просп. Левка Лук'яненка 68
Тип закладу: Логістична компанія
Доступність:
- Табличка з шрифтом Брайля
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
"Аптека ""Бажаємо здоров'я"" ",Просп. Левка Лук'яненка 62,Аптека,1,1,1,1,0,1,0,"Назва: Аптека ""Бажаємо здоров'я"" 
Адреса: Просп. Левка Лук'яненка 62
Тип закладу: Аптека
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
"Аптека ""Низьких цін""",Просп. Левка Лук'яненка 62,Аптека,1,1,0,1,0,1,0,"Назва: Аптека ""Низьких цін""
Адреса: Просп. Левка Лук'яненка 62
Тип закладу: Аптека
Доступність:
- Пандус
- Табличка з шрифтом Брайля
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
Аврора,Просп. Левка Лук'яненка 42-А,Роздрібний магазин,1,0,1,1,0,1,0,"Назва: Аврора
Адреса: Просп. Левка Лук'яненка 42-А
Тип закладу: Роздрібний магазин
Доступність:
- Пандус
- Тактильна плитка
- Кнопка виклику персоналу
- Широкі двері для людей з інвалідністю"
